assay,target,target_category,fluorophore
PIK3CA_c.1633GA,PIK3CA_c.1633_G,reference,VIC
PIK3CA_c.1633GA,PIK3CA_c.1633_A,variant,FAM
PIK3CA_c.1033AG,PIK3CA_c.1033_A,reference,VIC
PIK3CA_c.1033AG,PIK3CA_c.1033_G,variant,FAM
SMO_c.1234CT,SMO_c.1234_C,reference,VIC
SMO_c.1234CT,SMO_c.1234_T,variant,FAM
GNAQ_c.548GA,GNAQ_c.548_G,reference,VIC
GNAQ_c.548GA,GNAQ_c.548_A,variant,FAM
PIK3CA_c.1357GA,PIK3CA_c.1357_G,reference,VIC
PIK3CA_c.1357GA,PIK3CA_c.1357_A,variant,FAM
PIK3CA_c.1624GA,PIK3CA_c.1624_G,reference,VIC
PIK3CA_c.1624GA,PIK3CA_c.1624_A,variant,FAM
PIK3CA_c.263GA,PIK3CA_c.263_G,reference,VIC
PIK3CA_c.263GA,PIK3CA_c.263_A,variant,FAM
GNA11_c.547CT,GNA11_c.547_C,reference,VIC
GNA11_c.547CT,GNA11_c.547_T,variant,FAM
GNAS_c.601CT,GNAS_c.601_C,reference,VIC
GNAS_c.601CT,GNAS_c.601_T,variant,FAM
GNAS_c.602GA,GNAS_c.602_G,reference,VIC
GNAS_c.602GA,GNAS_c.602_A,variant,FAM
PIK3CA_c.3140AG,PIK3CA_c.3140_A,reference,VIC
PIK3CA_c.3140AG,PIK3CA_c.3140_G,variant,FAM
PIK3CA_c.2816AG,PIK3CA_c.2816_A,reference,VIC
PIK3CA_c.2816AG,PIK3CA_c.2816_G,variant,FAM
PIK3CA_c.1810TC,PIK3CA_c.1810_T,reference,VIC
PIK3CA_c.1810TC,PIK3CA_c.1810_C,variant,FAM
GNA11_c.626AT,GNA11_c.626_A,reference,VIC
GNA11_c.626AT,GNA11_c.626_T,variant,FAM
PIK3CA_c.1634AG,PIK3CA_c.1634_A,reference,VIC
PIK3CA_c.1634AG,PIK3CA_c.1634_G,variant,FAM
MAP2K1_c.171GT,MAP2K1_c.171_G,reference,VIC
MAP2K1_c.171GT,MAP2K1_c.171_T,variant,FAM
MAP2K1_c.607GA,MAP2K1_c.607_G,reference,VIC
MAP2K1_c.607GA,MAP2K1_c.607_A,variant,FAM
PIK3CA_c.1030GA,PIK3CA_c.1030_G,reference,VIC
PIK3CA_c.1030GA,PIK3CA_c.1030_A,variant,FAM
